Longitude (deg),Latitude (deg),"Rainfall class (0: < 0.5, 1: [0.5 4), 2: [4,8), 3: >= 8 (mm/day)"
42.5,8.010471204188477,0.0
127.5,-5.1832460732984345,1.0
231.25,-15.54973821989529,1.0
263.75,-19.31937172774869,0.0
22.5,-56.07329842931937,1.0
251.25,-46.64921465968587,1.0
15.0,-40.05235602094241,1.0
353.75,-54.18848167539267,1.0
236.25,22.146596858638745,0.0
265.0,-36.282722513089006,2.0
110.0,-45.70680628272251,2.0
278.75,37.225130890052355,1.0
118.75,16.492146596858632,3.0
291.25,-33.455497382198956,1.0
185.0,6.125654450261777,3.0
72.5,18.376963350785346,3.0
342.5,-54.18848167539267,1.0
138.75,-7.068062827225134,1.0
346.25,29.685863874345543,0.0
343.75,-1.4136125654450211,0.0
293.75,-1.4136125654450211,1.0
31.25,-26.8586387434555,1.0
205.0,35.340314136125656,1.0
345.0,-7.068062827225134,0.0
57.5,-58.90052356020942,1.0
83.75,-24.031413612565444,1.0
116.25,-1.4136125654450211,2.0
258.75,49.47643979057591,1.0
205.0,25.916230366492144,1.0
11.25,-58.90052356020942,1.0
77.5,8.952879581151834,3.0
76.25,21.204188481675388,2.0
37.5,24.031413612565444,0.0
73.75,-57.95811518324607,1.0
206.25,-52.303664921465966,1.0
253.75,-37.225130890052355,2.0
147.5,7.068062827225134,3.0
201.25,-40.05235602094241,2.0
346.25,-1.4136125654450211,0.0
190.0,36.282722513089,1.0
328.75,31.570680628272257,0.0
98.75,38.16753926701571,2.0
76.25,5.1832460732984345,3.0
172.5,39.10994764397907,1.0
318.75,5.1832460732984345,3.0
36.25,24.031413612565444,0.0
181.25,-6.125654450261777,3.0
48.75,-41.93717277486911,2.0
43.75,-51.361256544502616,2.0
355.0,-28.7434554973822,1.0
226.25,-40.05235602094241,2.0
272.5,23.089005235602087,1.0
72.5,31.570680628272257,1.0
18.75,28.7434554973822,0.0
128.75,33.455497382198956,2.0
165.0,-7.068062827225134,3.0
193.75,53.24607329842931,1.0
151.25,-53.24607329842932,1.0
43.75,-58.90052356020942,1.0
161.25,9.895287958115176,3.0
297.5,2.356020942408378,3.0
226.25,-46.64921465968587,1.0
136.25,-41.93717277486911,1.0
308.75,0.47120418848167844,1.0
327.5,24.031413612565444,0.0
115.0,29.685863874345543,2.0
117.5,-59.84293193717278,1.0
180.0,54.188481675392666,1.0
43.75,19.31937172774869,0.0
320.0,-54.18848167539267,1.0
93.75,56.07329842931938,1.0
270.0,14.607329842931932,2.0
137.5,-57.95811518324607,1.0
357.5,-20.261780104712045,0.0
285.0,-13.66492146596859,0.0
11.25,-54.18848167539267,1.0
25.0,-36.282722513089006,1.0
183.75,-14.607329842931932,1.0
195.0,-22.146596858638745,1.0
110.0,-42.87958115183246,1.0
181.25,54.188481675392666,1.0
237.5,-42.87958115183246,2.0
51.25,26.8586387434555,0.0
97.5,-46.64921465968587,2.0
72.5,-5.1832460732984345,1.0
28.75,-27.80104712041885,1.0
322.5,-19.31937172774869,1.0
65.0,19.31937172774869,1.0
163.75,58.90052356020942,1.0
155.0,30.6282722513089,1.0
268.75,37.225130890052355,1.0
117.5,-16.492146596858646,0.0
8.75,-40.99476439790576,1.0
112.5,8.952879581151834,3.0
352.5,-45.70680628272251,2.0
15.0,44.764397905759154,1.0
92.5,-34.397905759162306,1.0
211.25,14.607329842931932,1.0
13.75,-22.146596858638745,0.0
296.25,32.5130890052356,1.0
343.75,40.994764397905755,0.0
263.75,43.8219895287958,1.0
23.75,-55.13089005235602,1.0
110.0,-49.47643979057592,2.0
358.75,-55.13089005235602,1.0
121.25,-38.167539267015705,1.0
320.0,-5.1832460732984345,0.0
175.0,-9.89528795811519,2.0
233.75,19.31937172774869,1.0
36.25,26.8586387434555,0.0
182.5,1.4136125654450211,2.0
106.25,-57.95811518324607,1.0
322.5,30.6282722513089,1.0
48.75,43.8219895287958,1.0
192.5,39.10994764397907,1.0
355.0,52.30366492146598,1.0
277.5,-59.84293193717278,1.0
2.5,-11.78010471204189,0.0
